id	linkkey	aidkey	bidkey	decision
1623	99-45-28-001399_99-44-28-001469	99-45-28-001399	99-44-28-001469	confirm
1624	99-45-28-001400_99-44-28-001470	99-45-28-001400	99-44-28-001470	confirm
1625	99-45-28-001401_99-44-28-001471	99-45-28-001401	99-44-28-001471	confirm
1626	99-45-28-001549_99-44-28-001624	99-45-28-001549	99-44-28-001624	confirm
1627	99-45-28-001550_99-44-28-001625	99-45-28-001550	99-44-28-001625	confirm
1628	99-45-28-001652_99-44-28-001734	99-45-28-001652	99-44-28-001734	confirm
1629	99-45-28-001726_99-44-28-001809	99-45-28-001726	99-44-28-001809	confirm
1630	99-45-28-001744_99-44-28-001829	99-45-28-001744	99-44-28-001829	confirm
1631	99-45-28-001746_99-44-28-001831	99-45-28-001746	99-44-28-001831	confirm
1632	99-45-28-001751_99-44-28-001836	99-45-28-001751	99-44-28-001836	confirm
1633	99-45-28-001830_99-44-28-001917	99-45-28-001830	99-44-28-001917	confirm
1634	99-45-28-001831_99-44-28-001918	99-45-28-001831	99-44-28-001918	confirm
1635	99-45-28-001844_99-44-28-001932	99-45-28-001844	99-44-28-001932	confirm
1636	99-45-28-001883_99-43-10-002947	99-45-28-001883	99-43-10-002947	confirm
1637	99-45-28-001894_99-44-28-001985	99-45-28-001894	99-44-28-001985	confirm
1638	99-45-28-001897_99-44-28-001989	99-45-28-001897	99-44-28-001989	confirm
1639	99-45-28-001926_99-44-28-002018	99-45-28-001926	99-44-28-002018	confirm
1640	99-45-28-001928_99-44-28-002020	99-45-28-001928	99-44-28-002020	confirm
1641	99-45-28-002071_99-44-28-002181	99-45-28-002071	99-44-28-002181	confirm
1642	99-45-28-002097_99-44-28-002209	99-45-28-002097	99-44-28-002209	confirm
1643	99-45-28-002257_99-44-28-002375	99-45-28-002257	99-44-28-002375	confirm
1644	99-45-28-002290_99-44-28-002408	99-45-28-002290	99-44-28-002408	confirm
1645	99-45-28-002295_99-44-28-002413	99-45-28-002295	99-44-28-002413	confirm
1646	99-45-28-002387_99-44-28-002506	99-45-28-002387	99-44-28-002506	confirm
1647	99-45-28-002390_99-44-28-002510	99-45-28-002390	99-44-28-002510	confirm
1648	99-45-28-002435_99-44-28-002556	99-45-28-002435	99-44-28-002556	confirm
1649	99-45-28-002555_99-44-28-002696	99-45-28-002555	99-44-28-002696	confirm
1650	99-45-28-002566_99-44-28-002707	99-45-28-002566	99-44-28-002707	confirm
1651	99-45-28-002585_99-43-28-002657	99-45-28-002585	99-43-28-002657	confirm
1652	99-45-28-002586_99-43-28-002658	99-45-28-002586	99-43-28-002658	confirm
1653	99-45-28-002602_99-44-28-002742	99-45-28-002602	99-44-28-002742	confirm
1654	99-45-28-002612_99-43-28-002689	99-45-28-002612	99-43-28-002689	confirm
1655	99-45-28-002613_99-44-28-002752	99-45-28-002613	99-44-28-002752	confirm
1656	99-45-28-002628_99-44-28-002767	99-45-28-002628	99-44-28-002767	confirm
1657	99-45-28-002634_99-44-28-002773	99-45-28-002634	99-44-28-002773	confirm
1658	99-45-28-002636_99-44-28-002775	99-45-28-002636	99-44-28-002775	confirm
1659	99-45-28-002638_99-44-28-002777	99-45-28-002638	99-44-28-002777	confirm
1660	99-45-28-002643_99-44-28-002782	99-45-28-002643	99-44-28-002782	confirm
1661	99-45-28-002647_99-44-28-002786	99-45-28-002647	99-44-28-002786	confirm
1662	99-45-28-002648_99-44-28-002787	99-45-28-002648	99-44-28-002787	confirm
1663	99-45-28-002649_99-44-28-002788	99-45-28-002649	99-44-28-002788	confirm
1664	99-45-28-002650_99-44-28-002789	99-45-28-002650	99-44-28-002789	confirm
1665	99-45-28-002651_99-44-28-002790	99-45-28-002651	99-44-28-002790	confirm
1666	99-45-28-002652_99-44-28-002791	99-45-28-002652	99-44-28-002791	confirm
1667	99-45-28-002653_99-44-28-002792	99-45-28-002653	99-44-28-002792	confirm
1668	99-45-28-002654_99-44-28-002793	99-45-28-002654	99-44-28-002793	confirm
1669	99-45-28-002774_99-43-28-002865	99-45-28-002774	99-43-28-002865	confirm
1670	99-45-28-002798_99-44-28-002939	99-45-28-002798	99-44-28-002939	confirm
1671	99-45-28-003001_99-43-15-000064	99-45-28-003001	99-43-15-000064	confirm
1672	99-45-28-003006_99-43-15-000069	99-45-28-003006	99-43-15-000069	confirm
1673	99-45-28-003170_99-43-15-000212	99-45-28-003170	99-43-15-000212	confirm
1674	99-45-28-003321_99-43-28-003460	99-45-28-003321	99-43-28-003460	confirm
1675	99-45-28-003342_99-43-28-003492	99-45-28-003342	99-43-28-003492	confirm
1676	99-45-35-000003_99-44-10-001970	99-45-35-000003	99-44-10-001970	confirm
1677	99-45-35-000004_99-44-10-001188	99-45-35-000004	99-44-10-001188	confirm
1678	99-45-35-000006_99-44-32-000914	99-45-35-000006	99-44-32-000914	confirm
1679	99-45-35-000039_99-44-10-000531	99-45-35-000039	99-44-10-000531	confirm
1680	99-45-35-000040_99-44-10-000541	99-45-35-000040	99-44-10-000541	confirm
1681	99-45-35-000048_99-44-10-000776	99-45-35-000048	99-44-10-000776	confirm
1682	99-45-35-000112_99-44-10-001996	99-45-35-000112	99-44-10-001996	confirm
1683	99-45-35-000126_99-44-10-002649	99-45-35-000126	99-44-10-002649	confirm
1684	99-45-35-000209_99-44-32-000859	99-45-35-000209	99-44-32-000859	confirm
1685	99-45-35-000214_99-44-14-000405	99-45-35-000214	99-44-14-000405	confirm
1686	99-47-01-000001_99-46-10-000985	99-47-01-000001	99-46-10-000985	confirm
1687	99-47-01-000005_99-46-01-000006	99-47-01-000005	99-46-01-000006	confirm
1688	99-47-01-000007_99-46-01-000008	99-47-01-000007	99-46-01-000008	confirm
1689	99-47-01-000023_99-46-10-000360	99-47-01-000023	99-46-10-000360	confirm
1690	99-47-01-000075_99-46-10-000199	99-47-01-000075	99-46-10-000199	confirm
1691	99-47-01-000113_99-46-10-004845	99-47-01-000113	99-46-10-004845	confirm
1692	99-47-01-000131_99-46-10-001150	99-47-01-000131	99-46-10-001150	confirm
1693	99-47-01-000147_99-46-01-000152	99-47-01-000147	99-46-01-000152	confirm
1694	99-47-01-000151_99-46-01-000156	99-47-01-000151	99-46-01-000156	confirm
1695	99-47-01-000273_99-46-01-000248	99-47-01-000273	99-46-01-000248	confirm
1696	99-47-01-000275_99-46-55-000945	99-47-01-000275	99-46-55-000945	confirm
1697	99-47-01-000292_99-46-01-000302	99-47-01-000292	99-46-01-000302	confirm
1698	99-45-01-000612_99-44-28-001153	99-45-01-000612	99-44-28-001153	confirm
1699	99-45-01-000926_99-44-32-000128	99-45-01-000926	99-44-32-000128	confirm
1700	65-45-13-000134_99-45-15-000004	65-45-13-000134	99-45-15-000004	reject
1701	99-45-28-002945_99-44-15-000014	99-45-28-002945	99-44-15-000014	confirm
1702	99-45-28-003156_99-43-28-003284	99-45-28-003156	99-43-28-003284	confirm
1703	99-45-28-003234_99-43-28-003359	99-45-28-003234	99-43-28-003359	confirm
1704	99-45-10-005123_99-44-10-000880	99-45-10-005123	99-44-10-000880	confirm
1705	99-45-10-004720_99-44-10-003760	99-45-10-004720	99-44-10-003760	reject
1706	65-59-13-000146_99-59-28-001972	65-59-13-000146	99-59-28-001972	reject
1707	65-57-13-000144_99-57-28-002290	65-57-13-000144	99-57-28-002290	reject
1708	99-47-01-000241_99-46-15-000013	99-47-01-000241	99-46-15-000013	confirm
1709	99-47-01-000242_99-46-15-000014	99-47-01-000242	99-46-15-000014	confirm
1710	99-47-01-000311_99-46-01-000322	99-47-01-000311	99-46-01-000322	confirm
1711	99-47-01-000424_99-46-15-000015	99-47-01-000424	99-46-15-000015	confirm
1712	99-47-01-000426_99-46-15-000016	99-47-01-000426	99-46-15-000016	confirm
1713	99-47-01-000476_99-46-10-005685	99-47-01-000476	99-46-10-005685	confirm
1714	99-47-01-000511_99-46-28-001144	99-47-01-000511	99-46-28-001144	confirm
1715	99-47-01-000520_99-46-28-002263	99-47-01-000520	99-46-28-002263	confirm
1716	99-47-01-000521_99-46-55-001043	99-47-01-000521	99-46-55-001043	confirm
1717	99-47-01-000531_99-46-15-000017	99-47-01-000531	99-46-15-000017	confirm
1718	99-47-01-000532_99-46-15-000018	99-47-01-000532	99-46-15-000018	confirm
1719	99-47-01-000533_99-46-15-000019	99-47-01-000533	99-46-15-000019	confirm
1720	99-47-01-000591_99-46-10-000795	99-47-01-000591	99-46-10-000795	confirm
1721	99-47-01-000598_99-46-28-001587	99-47-01-000598	99-46-28-001587	confirm
1722	99-47-01-000679_99-46-10-005259	99-47-01-000679	99-46-10-005259	confirm
1723	99-47-01-000715_99-46-22-000246	99-47-01-000715	99-46-22-000246	confirm
1724	99-47-01-000717_99-46-55-000222	99-47-01-000717	99-46-55-000222	confirm
1725	99-47-01-000753_99-45-10-005053	99-47-01-000753	99-45-10-005053	confirm
1726	99-47-01-000784_99-46-10-006014	99-47-01-000784	99-46-10-006014	confirm
1727	99-47-01-000820_99-46-55-001730	99-47-01-000820	99-46-55-001730	confirm
1728	99-47-01-000824_99-46-10-001167	99-47-01-000824	99-46-10-001167	confirm
1729	99-47-01-000900_99-46-55-000714	99-47-01-000900	99-46-55-000714	confirm
1730	99-47-01-000909_99-46-55-000475	99-47-01-000909	99-46-55-000475	confirm
1731	99-47-01-001112_99-45-01-000856	99-47-01-001112	99-45-01-000856	confirm
1732	99-47-01-001182_99-46-10-005859	99-47-01-001182	99-46-10-005859	confirm
1733	99-47-01-001689_99-46-01-001693	99-47-01-001689	99-46-01-001693	confirm
1734	99-47-01-001722_99-46-22-000011	99-47-01-001722	99-46-22-000011	confirm
1735	99-47-10-000009_99-46-10-000011	99-47-10-000009	99-46-10-000011	confirm
1736	99-47-10-000020_99-46-10-000022	99-47-10-000020	99-46-10-000022	confirm
1737	99-47-10-000044_99-46-10-000047	99-47-10-000044	99-46-10-000047	confirm
1738	99-47-10-000172_99-46-10-000971	99-47-10-000172	99-46-10-000971	confirm
1739	99-47-10-000219_99-46-10-000205	99-47-10-000219	99-46-10-000205	confirm
1740	99-47-10-000281_99-46-10-000259	99-47-10-000281	99-46-10-000259	confirm
1741	99-47-10-000283_99-46-10-000282	99-47-10-000283	99-46-10-000282	confirm
1742	99-47-10-000633_99-45-10-004245	99-47-10-000633	99-45-10-004245	confirm
1743	99-47-10-000673_99-46-10-000972	99-47-10-000673	99-46-10-000972	confirm
1744	65-46-01-000753_99-46-10-002263	65-46-01-000753	99-46-10-002263	reject
1745	99-47-10-000733_99-46-10-000682	99-47-10-000733	99-46-10-000682	confirm
1746	99-47-10-000752_99-46-10-005076	99-47-10-000752	99-46-10-005076	confirm
1747	99-47-10-000762_99-46-10-000714	99-47-10-000762	99-46-10-000714	confirm
1748	99-47-10-000773_99-46-01-000018	99-47-10-000773	99-46-01-000018	confirm
1749	99-47-10-000793_99-46-10-000741	99-47-10-000793	99-46-10-000741	confirm
1750	99-47-10-000852_99-46-10-000795	99-47-10-000852	99-46-10-000795	confirm
1751	99-47-10-000892_99-46-10-000947	99-47-10-000892	99-46-10-000947	confirm
1752	99-47-10-000997_99-46-01-000046	99-47-10-000997	99-46-01-000046	confirm
1753	99-47-10-001030_99-46-10-000944	99-47-10-001030	99-46-10-000944	confirm
1754	99-47-10-001062_99-46-01-000141	99-47-10-001062	99-46-01-000141	confirm
1755	99-47-10-006534_99-46-10-000938	99-47-10-006534	99-46-10-000938	reject
1756	99-47-10-001108_99-46-10-000938	99-47-10-001108	99-46-10-000938	confirm
1757	99-47-10-001124_99-46-10-000985	99-47-10-001124	99-46-10-000985	confirm
1758	99-47-10-001149_99-46-10-001011	99-47-10-001149	99-46-10-001011	confirm
1759	99-47-10-001228_99-46-10-001086	99-47-10-001228	99-46-10-001086	confirm
1760	99-47-10-001247_99-46-01-000696	99-47-10-001247	99-46-01-000696	confirm
1761	99-47-10-001263_99-46-10-001121	99-47-10-001263	99-46-10-001121	confirm
1762	99-47-10-001426_99-46-10-001283	99-47-10-001426	99-46-10-001283	confirm
1763	99-47-10-001595_99-46-22-000143	99-47-10-001595	99-46-22-000143	confirm
1764	99-47-10-001631_99-46-10-001494	99-47-10-001631	99-46-10-001494	confirm
1765	99-47-10-001651_99-46-10-001507	99-47-10-001651	99-46-10-001507	confirm
1766	99-47-10-001666_99-46-10-001525	99-47-10-001666	99-46-10-001525	confirm
1767	99-47-10-001674_99-46-10-001536	99-47-10-001674	99-46-10-001536	confirm
1768	99-47-10-001693_99-46-10-001549	99-47-10-001693	99-46-10-001549	confirm
1769	99-47-10-001721_99-46-10-001586	99-47-10-001721	99-46-10-001586	confirm
1770	65-54-13-000044_99-54-10-007247	65-54-13-000044	99-54-10-007247	reject
1771	65-55-13-000044_99-55-28-003947	65-55-13-000044	99-55-28-003947	reject
1772	65-56-13-000044_99-56-28-003825	65-56-13-000044	99-56-28-003825	reject
1773	99-47-10-002118_99-46-10-001987	99-47-10-002118	99-46-10-001987	confirm
1774	99-47-10-002329_99-46-10-002194	99-47-10-002329	99-46-10-002194	confirm
1775	99-47-10-002384_99-46-10-002302	99-47-10-002384	99-46-10-002302	confirm
1776	99-47-10-002467_99-46-10-002336	99-47-10-002467	99-46-10-002336	confirm
1777	99-47-10-002837_99-46-10-002720	99-47-10-002837	99-46-10-002720	confirm
1778	99-47-10-002918_99-46-10-002799	99-47-10-002918	99-46-10-002799	confirm
1779	99-47-10-002955_99-46-10-000852	99-47-10-002955	99-46-10-000852	confirm
1780	99-47-10-003119_99-46-10-002980	99-47-10-003119	99-46-10-002980	confirm
1781	99-47-10-003237_99-46-10-003106	99-47-10-003237	99-46-10-003106	confirm
1782	99-47-10-003272_99-46-35-000243	99-47-10-003272	99-46-35-000243	confirm
1783	99-47-10-003322_99-46-35-000244	99-47-10-003322	99-46-35-000244	confirm
1784	99-47-10-003492_99-46-10-003345	99-47-10-003492	99-46-10-003345	confirm
1785	99-47-10-003518_99-46-10-003368	99-47-10-003518	99-46-10-003368	confirm
1786	99-47-10-003545_99-46-10-003385	99-47-10-003545	99-46-10-003385	confirm
1787	99-47-10-003555_99-46-10-003396	99-47-10-003555	99-46-10-003396	confirm
1788	99-47-10-003588_99-46-10-003422	99-47-10-003588	99-46-10-003422	confirm
1789	99-47-10-003661_99-46-10-002404	99-47-10-003661	99-46-10-002404	confirm
1790	99-47-10-003681_99-46-10-003522	99-47-10-003681	99-46-10-003522	confirm
1791	99-47-10-003723_99-46-35-000289	99-47-10-003723	99-46-35-000289	confirm
1792	99-47-10-003931_99-46-10-003764	99-47-10-003931	99-46-10-003764	confirm
1793	99-47-10-004030_99-46-10-003454	99-47-10-004030	99-46-10-003454	confirm
1794	99-47-10-004228_99-46-10-004075	99-47-10-004228	99-46-10-004075	confirm
1795	99-47-10-004411_99-46-10-004231	99-47-10-004411	99-46-10-004231	confirm
1796	99-47-10-004467_99-46-01-000152	99-47-10-004467	99-46-01-000152	confirm
1797	99-47-10-004580_99-45-10-004870	99-47-10-004580	99-45-10-004870	confirm
1798	99-47-10-004593_99-46-10-004406	99-47-10-004593	99-46-10-004406	confirm
1799	99-47-10-004616_99-46-10-000992	99-47-10-004616	99-46-10-000992	confirm
1800	99-47-10-005162_99-46-01-000826	99-47-10-005162	99-46-01-000826	reject
1801	99-47-10-005162_99-46-22-000018	99-47-10-005162	99-46-22-000018	confirm
1802	99-47-10-005212_99-46-10-005020	99-47-10-005212	99-46-10-005020	confirm
1803	99-47-10-005352_99-46-10-005161	99-47-10-005352	99-46-10-005161	confirm
1804	99-47-10-005558_99-45-28-002897	99-47-10-005558	99-45-28-002897	confirm
1805	99-47-10-005598_99-46-10-005402	99-47-10-005598	99-46-10-005402	confirm
1806	99-47-10-005610_99-45-10-004953	99-47-10-005610	99-45-10-004953	confirm
1807	99-47-10-005612_99-46-10-005415	99-47-10-005612	99-46-10-005415	confirm
1808	99-47-10-005746_99-46-10-005550	99-47-10-005746	99-46-10-005550	confirm
1809	99-47-10-005753_99-46-10-005560	99-47-10-005753	99-46-10-005560	confirm
1810	99-47-10-005775_99-46-10-005588	99-47-10-005775	99-46-10-005588	confirm
1811	99-47-10-005783_99-46-10-005597	99-47-10-005783	99-46-10-005597	confirm
1812	99-47-10-005793_99-46-10-005685	99-47-10-005793	99-46-10-005685	confirm
1813	99-47-10-005834_99-46-10-005776	99-47-10-005834	99-46-10-005776	confirm
1814	99-47-10-005836_99-46-10-005779	99-47-10-005836	99-46-10-005779	confirm
1815	99-47-10-005894_99-46-10-005835	99-47-10-005894	99-46-10-005835	confirm
1816	99-47-10-006267_99-46-10-006194	99-47-10-006267	99-46-10-006194	confirm
1817	99-47-12-000023_99-46-12-000089	99-47-12-000023	99-46-12-000089	confirm
1818	99-47-12-000124_99-45-10-001516	99-47-12-000124	99-45-10-001516	confirm
1819	99-47-13-000012_99-46-13-000012	99-47-13-000012	99-46-13-000012	confirm
1820	99-47-13-000025_99-46-13-000016	99-47-13-000025	99-46-13-000016	confirm
1821	99-47-13-000052_99-46-10-000022	99-47-13-000052	99-46-10-000022	confirm
1822	99-47-13-000053_99-46-10-000992	99-47-13-000053	99-46-10-000992	confirm
1823	65-43-13-000049_99-43-10-000976	65-43-13-000049	99-43-10-000976	reject
1824	65-44-13-000049_99-44-10-001020	65-44-13-000049	99-44-10-001020	reject
1825	65-45-13-000049_99-45-10-001176	65-45-13-000049	99-45-10-001176	reject
1826	65-46-13-000046_99-46-10-001431	65-46-13-000046	99-46-10-001431	reject
1827	65-47-13-000058_99-47-10-001571	65-47-13-000058	99-47-10-001571	reject
1828	65-48-13-000059_99-48-10-002416	65-48-13-000059	99-48-10-002416	reject
1829	65-49-13-000059_99-49-10-002524	65-49-13-000059	99-49-10-002524	reject
1830	65-50-13-000058_99-50-10-002982	65-50-13-000058	99-50-10-002982	reject
1831	65-51-13-000059_99-51-10-003087	65-51-13-000059	99-51-10-003087	reject
1832	99-47-13-000066_99-46-10-000530	99-47-13-000066	99-46-10-000530	confirm
1833	99-47-13-000071_99-46-13-000053	99-47-13-000071	99-46-13-000053	confirm
1834	99-47-13-000072_99-46-13-000059	99-47-13-000072	99-46-13-000059	confirm
1835	99-47-13-000078_99-46-13-000065	99-47-13-000078	99-46-13-000065	confirm
1836	99-47-13-000080_99-46-13-000067	99-47-13-000080	99-46-13-000067	confirm
1837	99-47-13-000093_99-46-10-002679	99-47-13-000093	99-46-10-002679	confirm
1838	99-47-13-000094_99-46-13-000081	99-47-13-000094	99-46-13-000081	confirm
1839	99-47-13-000119_99-46-13-000105	99-47-13-000119	99-46-13-000105	confirm
1840	99-47-13-000121_99-46-13-000107	99-47-13-000121	99-46-13-000107	confirm
1841	99-47-13-000137_99-46-13-000123	99-47-13-000137	99-46-13-000123	confirm
1842	99-47-13-000138_99-46-13-000124	99-47-13-000138	99-46-13-000124	confirm
1843	99-47-13-000139_99-46-13-000125	99-47-13-000139	99-46-13-000125	confirm
1844	99-47-13-000140_99-46-13-000126	99-47-13-000140	99-46-13-000126	confirm
1845	99-47-13-000148_99-46-13-000134	99-47-13-000148	99-46-13-000134	confirm
1846	99-47-13-000149_99-46-13-000135	99-47-13-000149	99-46-13-000135	confirm
1847	99-47-13-000153_99-46-13-000139	99-47-13-000153	99-46-13-000139	confirm
1848	99-47-13-000156_99-46-13-000142	99-47-13-000156	99-46-13-000142	confirm
1849	99-47-13-000164_99-46-13-000149	99-47-13-000164	99-46-13-000149	confirm
1850	99-47-13-000170_99-46-13-000155	99-47-13-000170	99-46-13-000155	confirm
1851	99-47-13-000171_99-46-13-000156	99-47-13-000171	99-46-13-000156	confirm
1852	99-47-13-000173_99-46-13-000158	99-47-13-000173	99-46-13-000158	confirm
1853	99-47-13-000181_99-46-13-000166	99-47-13-000181	99-46-13-000166	confirm
1854	99-47-13-000186_99-46-13-000171	99-47-13-000186	99-46-13-000171	confirm
1855	99-47-13-000187_99-46-13-000172	99-47-13-000187	99-46-13-000172	confirm
1856	99-47-13-000191_99-46-13-000156	99-47-13-000191	99-46-13-000156	confirm
1857	99-47-13-000205_99-46-13-000190	99-47-13-000205	99-46-13-000190	confirm
1858	99-47-13-000196_99-46-13-000181	99-47-13-000196	99-46-13-000181	confirm
1859	99-47-13-000213_99-46-13-000198	99-47-13-000213	99-46-13-000198	confirm
1860	99-47-14-000001_99-46-10-002783	99-47-14-000001	99-46-10-002783	confirm
1861	99-47-14-000002_99-46-14-000002	99-47-14-000002	99-46-14-000002	confirm
1862	99-47-14-000089_99-46-14-000096	99-47-14-000089	99-46-14-000096	confirm
1863	99-47-14-000202_99-46-14-000215	99-47-14-000202	99-46-14-000215	confirm
1864	99-47-14-000337_99-46-14-000325	99-47-14-000337	99-46-14-000325	confirm
1865	99-47-14-000350_99-46-14-000339	99-47-14-000350	99-46-14-000339	confirm
1866	99-47-14-000397_99-46-14-000386	99-47-14-000397	99-46-14-000386	confirm
1867	99-47-14-000399_99-46-14-000388	99-47-14-000399	99-46-14-000388	confirm
1868	99-47-14-000400_99-46-14-000389	99-47-14-000400	99-46-14-000389	confirm
1869	99-47-14-000417_99-46-14-000406	99-47-14-000417	99-46-14-000406	confirm
1870	99-47-14-000424_99-46-14-000414	99-47-14-000424	99-46-14-000414	confirm
1871	99-47-14-000517_99-46-10-000750	99-47-14-000517	99-46-10-000750	confirm
1872	99-47-15-000007_99-46-15-000007	99-47-15-000007	99-46-15-000007	confirm
1873	99-47-15-000009_99-46-15-000009	99-47-15-000009	99-46-15-000009	confirm
1874	99-47-15-000011_99-46-15-000011	99-47-15-000011	99-46-15-000011	confirm
1875	99-47-15-000012_99-46-15-000012	99-47-15-000012	99-46-15-000012	confirm
1876	99-47-15-000013_99-46-15-000013	99-47-15-000013	99-46-15-000013	confirm
1877	99-47-15-000014_99-46-15-000014	99-47-15-000014	99-46-15-000014	confirm
1878	99-47-15-000015_99-46-15-000015	99-47-15-000015	99-46-15-000015	confirm
1879	99-47-15-000016_99-46-15-000016	99-47-15-000016	99-46-15-000016	confirm
1880	99-47-15-000017_99-46-15-000017	99-47-15-000017	99-46-15-000017	confirm
1881	99-47-15-000018_99-46-15-000018	99-47-15-000018	99-46-15-000018	confirm
1882	99-47-15-000019_99-46-15-000019	99-47-15-000019	99-46-15-000019	confirm
1883	99-47-15-000020_99-45-15-000022	99-47-15-000020	99-45-15-000022	confirm
1884	99-47-15-000021_99-45-15-000024	99-47-15-000021	99-45-15-000024	confirm
1885	99-47-15-000218_99-45-15-000262	99-47-15-000218	99-45-15-000262	confirm
1886	99-47-15-000256_99-45-15-000309	99-47-15-000256	99-45-15-000309	confirm
1887	99-47-15-000263_99-45-15-000316	99-47-15-000263	99-45-15-000316	confirm
1888	99-47-15-000308_99-46-15-000332	99-47-15-000308	99-46-15-000332	confirm
1889	99-47-15-000326_99-46-15-000350	99-47-15-000326	99-46-15-000350	confirm
1890	99-47-15-000337_99-46-15-000361	99-47-15-000337	99-46-15-000361	confirm
1891	99-47-15-000359_99-46-15-000384	99-47-15-000359	99-46-15-000384	confirm
1892	99-47-15-000366_99-46-15-000391	99-47-15-000366	99-46-15-000391	confirm
1893	99-47-15-000385_99-46-28-002954	99-47-15-000385	99-46-28-002954	confirm
1894	99-47-15-000400_99-46-15-000423	99-47-15-000400	99-46-15-000423	confirm
1895	99-47-15-000405_99-46-15-000428	99-47-15-000405	99-46-15-000428	confirm
1896	99-47-15-000453_99-46-15-000481	99-47-15-000453	99-46-15-000481	confirm
1897	99-47-15-000455_99-46-15-000483	99-47-15-000455	99-46-15-000483	confirm
1898	99-47-15-000462_99-46-15-000490	99-47-15-000462	99-46-15-000490	confirm
1899	99-47-15-000555_99-46-15-000193	99-47-15-000555	99-46-15-000193	confirm
1900	99-47-15-000556_99-46-15-000502	99-47-15-000556	99-46-15-000502	confirm
1901	99-47-16-000004_99-46-16-000005	99-47-16-000004	99-46-16-000005	confirm
1902	99-47-16-000005_99-46-16-000006	99-47-16-000005	99-46-16-000006	confirm
1903	99-47-16-000006_99-46-16-000007	99-47-16-000006	99-46-16-000007	confirm
1904	99-47-16-000007_99-46-16-000008	99-47-16-000007	99-46-16-000008	confirm
1905	99-47-16-000008_99-46-16-000009	99-47-16-000008	99-46-16-000009	confirm
1906	99-47-16-000009_99-46-01-001069	99-47-16-000009	99-46-01-001069	confirm
1907	99-47-16-000010_99-46-16-000012	99-47-16-000010	99-46-16-000012	confirm
1908	99-47-16-000011_99-46-16-000013	99-47-16-000011	99-46-16-000013	confirm
1909	99-47-16-000012_99-46-15-000053	99-47-16-000012	99-46-15-000053	confirm
1910	99-47-22-000004_99-46-22-000004	99-47-22-000004	99-46-22-000004	confirm
1911	99-47-22-000005_99-46-22-000006	99-47-22-000005	99-46-22-000006	confirm
1912	99-47-22-000012_99-46-22-000012	99-47-22-000012	99-46-22-000012	confirm
1913	99-47-22-000013_99-46-22-000013	99-47-22-000013	99-46-22-000013	confirm
1914	99-47-22-000014_99-46-22-000014	99-47-22-000014	99-46-22-000014	confirm
1915	99-47-22-000018_99-46-01-000801	99-47-22-000018	99-46-01-000801	confirm
1916	99-47-22-000025_99-46-10-000906	99-47-22-000025	99-46-10-000906	confirm
1917	99-47-22-000321_99-46-22-000229	99-47-22-000321	99-46-22-000229	confirm
1918	99-47-22-000339_99-46-10-005397	99-47-22-000339	99-46-10-005397	confirm
1919	99-47-22-000390_99-46-01-000700	99-47-22-000390	99-46-01-000700	confirm
1920	99-47-22-000425_99-46-22-000352	99-47-22-000425	99-46-22-000352	confirm
1921	99-47-22-000431_99-45-11-000167	99-47-22-000431	99-45-11-000167	confirm
1922	99-47-22-000435_99-45-10-001497	99-47-22-000435	99-45-10-001497	confirm
1923	99-47-22-000438_99-45-10-003550	99-47-22-000438	99-45-10-003550	confirm
1924	99-47-22-000443_99-46-01-000731	99-47-22-000443	99-46-01-000731	confirm
1925	99-47-22-000446_99-45-11-000030	99-47-22-000446	99-45-11-000030	confirm
1926	99-47-22-000453_99-46-10-003576	99-47-22-000453	99-46-10-003576	confirm
1927	99-47-22-000457_99-45-10-005024	99-47-22-000457	99-45-10-005024	confirm
1928	99-47-22-000461_99-45-28-001068	99-47-22-000461	99-45-28-001068	confirm
1929	99-47-22-000466_99-45-10-000637	99-47-22-000466	99-45-10-000637	confirm
1930	99-47-22-000469_99-45-10-005052	99-47-22-000469	99-45-10-005052	confirm
1931	99-47-22-000472_99-46-01-000767	99-47-22-000472	99-46-01-000767	confirm
1932	65-49-01-000462_99-49-28-002245	65-49-01-000462	99-49-28-002245	reject
1933	99-47-22-000479_99-46-01-000707	99-47-22-000479	99-46-01-000707	confirm
1934	99-47-22-000482_99-45-10-004890	99-47-22-000482	99-45-10-004890	confirm
1935	65-46-01-000851_99-46-14-000094	65-46-01-000851	99-46-14-000094	reject
1936	65-49-01-000349_99-49-14-000081	65-49-01-000349	99-49-14-000081	reject
1937	65-50-01-000327_99-50-14-000076	65-50-01-000327	99-50-14-000076	reject
1938	65-51-01-000322_99-51-14-000072	65-51-01-000322	99-51-14-000072	reject
1939	65-52-01-000305_99-52-14-000076	65-52-01-000305	99-52-14-000076	reject
1940	99-46-14-000094_99-45-10-004095	99-46-14-000094	99-45-10-004095	reject
1941	99-47-22-000486_99-45-10-005218	99-47-22-000486	99-45-10-005218	confirm
1942	99-47-22-000488_99-46-01-000796	99-47-22-000488	99-46-01-000796	confirm
1943	99-47-22-000496_99-45-10-005236	99-47-22-000496	99-45-10-005236	confirm
1944	99-47-22-000497_99-45-10-005237	99-47-22-000497	99-45-10-005237	confirm
1945	99-47-22-000498_99-45-10-005238	99-47-22-000498	99-45-10-005238	confirm
1946	99-47-22-000499_99-45-10-005239	99-47-22-000499	99-45-10-005239	confirm
1947	99-47-22-000504_99-45-10-002608	99-47-22-000504	99-45-10-002608	confirm
