id	linkkey	aidkey	bidkey	decision
3844	99-71-17-000382_99-69-28-008312	99-71-17-000382	99-69-28-008312	confirm
3845	99-71-17-000385_99-69-28-007084	99-71-17-000385	99-69-28-007084	confirm
3846	99-71-17-000503_99-69-17-000292	99-71-17-000503	99-69-17-000292	confirm
3847	99-71-17-000516_99-69-17-000041	99-71-17-000516	99-69-17-000041	confirm
3848	99-71-17-000527_99-69-17-000142	99-71-17-000527	99-69-17-000142	confirm
3849	99-71-17-000572_99-69-17-000041	99-71-17-000572	99-69-17-000041	confirm
3850	99-71-17-000581_99-69-17-000361	99-71-17-000581	99-69-17-000361	confirm
3851	99-71-17-000607_99-67-17-000051	99-71-17-000607	99-67-17-000051	confirm
3852	99-71-17-000625_99-67-17-000071	99-71-17-000625	99-67-17-000071	confirm
3853	99-71-17-000741_99-69-17-000494	99-71-17-000741	99-69-17-000494	confirm
3854	99-71-17-000742_99-69-17-000496	99-71-17-000742	99-69-17-000496	confirm
3855	99-71-17-000743_99-69-17-000495	99-71-17-000743	99-69-17-000495	confirm
3856	99-71-17-000744_99-69-17-000497	99-71-17-000744	99-69-17-000497	confirm
3857	99-71-17-000745_99-69-17-000498	99-71-17-000745	99-69-17-000498	confirm
3858	99-71-17-000746_99-69-17-000499	99-71-17-000746	99-69-17-000499	confirm
3859	99-71-17-000747_99-69-17-000503	99-71-17-000747	99-69-17-000503	confirm
3860	99-71-17-000748_99-69-17-000500	99-71-17-000748	99-69-17-000500	confirm
3861	99-71-17-000749_99-69-17-000501	99-71-17-000749	99-69-17-000501	confirm
3862	99-71-17-000750_99-69-17-000502	99-71-17-000750	99-69-17-000502	confirm
3863	99-71-17-000759_99-69-17-000520	99-71-17-000759	99-69-17-000520	confirm
3864	99-71-17-000868_99-69-17-000752	99-71-17-000868	99-69-17-000752	confirm
3865	99-71-17-000877_99-69-17-000750	99-71-17-000877	99-69-17-000750	confirm
3866	99-71-17-000887_99-69-17-000537	99-71-17-000887	99-69-17-000537	confirm
3867	99-71-17-000901_99-67-28-005905	99-71-17-000901	99-67-28-005905	confirm
3868	99-71-17-000907_99-67-28-005908	99-71-17-000907	99-67-28-005908	confirm
3869	99-71-17-000938_99-69-17-000815	99-71-17-000938	99-69-17-000815	confirm
3870	99-71-17-000940_99-67-17-000316	99-71-17-000940	99-67-17-000316	confirm
3871	99-71-17-000956_99-69-17-000556	99-71-17-000956	99-69-17-000556	confirm
3872	99-71-17-000958_99-69-17-000839	99-71-17-000958	99-69-17-000839	confirm
3873	99-71-17-000985_99-67-17-000335	99-71-17-000985	99-67-17-000335	confirm
3874	99-71-17-001178_99-69-17-000596	99-71-17-001178	99-69-17-000596	confirm
3875	99-71-17-001182_99-67-17-000373	99-71-17-001182	99-67-17-000373	confirm
3876	99-71-17-001218_99-67-17-000314	99-71-17-001218	99-67-17-000314	confirm
3877	99-71-17-001239_99-67-28-006215	99-71-17-001239	99-67-28-006215	confirm
3878	99-71-17-001269_99-67-17-000412	99-71-17-001269	99-67-17-000412	confirm
3879	99-71-17-001393_99-67-17-000469	99-71-17-001393	99-67-17-000469	confirm
3880	99-71-17-001446_99-69-17-001201	99-71-17-001446	99-69-17-001201	confirm
3881	99-71-17-001461_99-67-17-000396	99-71-17-001461	99-67-17-000396	confirm
3882	99-71-17-001462_99-67-17-000398	99-71-17-001462	99-67-17-000398	confirm
3883	99-71-17-001475_99-69-17-001230	99-71-17-001475	99-69-17-001230	confirm
3884	99-71-17-001499_99-67-17-000572	99-71-17-001499	99-67-17-000572	confirm
3885	99-71-17-001500_99-69-17-001257	99-71-17-001500	99-69-17-001257	confirm
3886	99-71-17-001501_99-69-17-001258	99-71-17-001501	99-69-17-001258	confirm
3887	99-71-17-001502_99-69-17-001260	99-71-17-001502	99-69-17-001260	confirm
3888	99-71-17-001503_99-69-17-001233	99-71-17-001503	99-69-17-001233	confirm
3889	99-71-17-001504_99-69-17-001261	99-71-17-001504	99-69-17-001261	confirm
3890	99-71-17-001505_99-69-17-001253	99-71-17-001505	99-69-17-001253	confirm
3891	99-71-17-001506_99-69-17-001259	99-71-17-001506	99-69-17-001259	confirm
3892	99-71-17-001523_99-67-17-000590	99-71-17-001523	99-67-17-000590	confirm
3893	99-71-17-001532_99-67-17-000600	99-71-17-001532	99-67-17-000600	confirm
3894	99-71-17-001533_99-67-17-000601	99-71-17-001533	99-67-17-000601	confirm
3895	99-71-17-001535_99-67-17-000603	99-71-17-001535	99-67-17-000603	confirm
3896	99-71-17-001536_99-67-17-000604	99-71-17-001536	99-67-17-000604	confirm
3897	99-71-17-001539_99-67-17-000608	99-71-17-001539	99-67-17-000608	confirm
3898	99-71-17-001544_99-67-17-000614	99-71-17-001544	99-67-17-000614	confirm
3899	99-71-17-001545_99-67-17-000615	99-71-17-001545	99-67-17-000615	confirm
3900	99-71-17-001546_99-67-17-000616	99-71-17-001546	99-67-17-000616	confirm
3901	99-71-17-001547_99-67-17-000617	99-71-17-001547	99-67-17-000617	confirm
3902	99-71-17-001548_99-67-17-000618	99-71-17-001548	99-67-17-000618	confirm
3903	99-71-17-001550_99-67-17-000620	99-71-17-001550	99-67-17-000620	confirm
3904	99-71-17-001554_99-67-17-000627	99-71-17-001554	99-67-17-000627	confirm
3905	99-71-17-001555_99-67-17-000628	99-71-17-001555	99-67-17-000628	confirm
3906	99-71-17-001556_99-67-17-000629	99-71-17-001556	99-67-17-000629	confirm
3907	99-71-17-001557_99-67-17-000630	99-71-17-001557	99-67-17-000630	confirm
3908	99-71-17-001558_99-67-17-000631	99-71-17-001558	99-67-17-000631	confirm
3909	99-71-17-001562_99-69-17-001323	99-71-17-001562	99-69-17-001323	confirm
3910	99-71-17-001563_99-69-17-001324	99-71-17-001563	99-69-17-001324	confirm
3911	99-71-27-000004_99-69-01-001908	99-71-27-000004	99-69-01-001908	confirm
3912	99-71-27-000040_99-69-01-001830	99-71-27-000040	99-69-01-001830	confirm
3913	99-71-27-000387_99-67-27-000412	99-71-27-000387	99-67-27-000412	confirm
3914	99-71-27-000388_99-67-27-000413	99-71-27-000388	99-67-27-000413	confirm
3915	99-71-27-000389_99-67-27-000414	99-71-27-000389	99-67-27-000414	confirm
3916	99-71-27-000390_99-67-27-000415	99-71-27-000390	99-67-27-000415	confirm
3917	99-71-27-000391_99-67-27-000416	99-71-27-000391	99-67-27-000416	confirm
3918	99-71-27-000392_99-67-27-000417	99-71-27-000392	99-67-27-000417	confirm
3919	99-71-27-000398_99-69-27-000403	99-71-27-000398	99-69-27-000403	confirm
3920	99-71-27-000436_99-69-28-006810	99-71-27-000436	99-69-28-006810	confirm
3921	99-71-27-000551_99-69-27-000557	99-71-27-000551	99-69-27-000557	confirm
3922	99-71-27-000603_99-67-27-000635	99-71-27-000603	99-67-27-000635	confirm
3923	99-71-27-000693_99-69-27-000704	99-71-27-000693	99-69-27-000704	confirm
3924	99-71-27-000739_99-69-27-000751	99-71-27-000739	99-69-27-000751	confirm
3925	99-71-28-000060_99-69-28-000063	99-71-28-000060	99-69-28-000063	confirm
3926	65-69-01-000472_99-69-15-000048	65-69-01-000472	99-69-15-000048	reject
3927	99-71-28-000081_99-69-15-000048	99-71-28-000081	99-69-15-000048	confirm
3928	99-71-28-000278_99-67-28-008230	99-71-28-000278	99-67-28-008230	confirm
3929	99-71-28-000621_99-67-28-008420	99-71-28-000621	99-67-28-008420	confirm
3930	99-71-28-000685_99-67-28-008441	99-71-28-000685	99-67-28-008441	confirm
3931	99-71-28-000929_99-69-28-000957	99-71-28-000929	99-69-28-000957	confirm
3932	99-71-28-000935_99-69-28-000963	99-71-28-000935	99-69-28-000963	confirm
3933	99-71-28-001011_99-69-10-000476	99-71-28-001011	99-69-10-000476	confirm
